id,marker,meanrr,medianrr,meanhr,sdnn,rmssd,nn50,p_nn50,vlf_percent,lf_percent,hf_percent,lf_hf,lf_n_u,hf_n_u,vlf_abs,lf_abs,hf_abs,recordingtime_s
$onesz,baseline,1000.1986,1007.8125,59.9881,64.0374,54.7489,39,33.0508,4.8525,73.1635,21.9839,3.328,76.8949,23.1051,168.5708,2541.6076,763.6943,118.0234
$onesz,cognitive,965.6516,968.75,62.1342,63.3847,48.4323,112,28.0702,34.5273,45.5662,19.9065,2.289,69.5957,30.4043,1226.7711,1618.9894,707.2875,385.295
$onesz,physical,936.6468,945.3125,64.0583,78.1783,51.302,44,34.6457,30.3311,55.4596,14.2093,3.903,79.6045,20.3955,1451.5739,2654.1692,680.0248,118.9541
4,baseline,708.1774,703.125,84.7245,51.0652,26.4555,14,8.3832,17.1794,68.3009,14.5197,4.704,82.4685,17.5315,501.4579,1993.6723,423.8236,118.2656
4,cognitive,686.8716,671.875,87.3526,55.3929,23.3877,26,4.6346,48.4677,40.008,11.5242,3.4716,77.6368,22.3632,649.447,536.0909,154.4201,385.335
4,physical,704.4656,703.125,85.1709,69.6846,34.4336,20,11.8343,24.0173,61.7306,14.2521,4.3313,81.243,18.757,995.1688,2557.8422,590.5443,119.0547
adresz,baseline,682.1121,679.6875,87.9621,40.9938,23.34,9,5.1724,17.9943,63.6457,18.36,3.4665,77.6113,22.3887,384.753,1360.8677,392.5722,118.6875
adresz,cognitive,641.8284,640.625,93.4829,30.8575,19.4912,10,1.6207,36.5049,45.7877,17.7074,2.5858,72.1122,27.8878,283.1335,355.1315,137.3392,396.0081
adresz,physical,674.8491,679.6875,88.9088,35.5005,22.3235,4,2.2727,21.7462,55.4302,22.8236,2.4286,70.8339,29.1661,201.9236,514.6966,211.9284,118.7734
akftmx,baseline,1090.2689,1109.375,55.0323,122.1393,105.9114,57,53.271,4.6791,78.0159,17.305,4.5083,81.8455,18.1545,795.1287,13257.4133,2940.6817,116.6588
akftmx,cognitive,1111.9688,1117.1875,53.9584,93.1229,93.3015,217,62.1777,39.9269,16.7046,43.3685,0.3852,27.8072,72.1928,2715.7336,1136.2111,2949.8237,388.0771
akftmx,physical,1001.3823,1007.8125,59.9172,81.8656,72.6914,55,45.8333,12.3141,66.943,20.7428,3.2273,76.3441,23.6559,875.9079,4761.6799,1475.4458,120.1659
april,baseline,793.3372,796.875,75.6299,62.7345,49.13,39,26,42.6731,32.7985,24.5284,1.3372,57.213,42.787,1398.8206,1075.1306,804.0405,119.0006
